id,latitude,longitude
GKA,-6.081689835,145.3919983
MAG,-5.207079887,145.7890015
HGU,-5.826789856,144.2960052
LAE,-6.569803,146.725977
POM,-9.443380356,147.2200012
WWK,-3.583830118,143.6690063
UAK,61.16049957,-45.42599869
GOH,64.19090271,-51.67810059
SFJ,67.0122219,-50.71160316
THU,76.53119659,-68.70320129
AEY,65.66000366,-18.0727005
EGS,65.28330231,-14.40139961
IFJ,66.05809784,-23.13529968
KEF,63.98500061,-22.60560036
RKV,64.12999725,-21.94059944
YAM,46.48500061,-84.50939941
YAY,51.39189911,-56.08309937
YBC,49.13249969,-68.20439911
YBG,48.33060074,-70.99639893
YBK,64.29889679,-96.07779694
YBL,49.95080185,-125.2710037
YBR,49.91,-99.951897
YCB,69.10810089,-105.1380005
YCD,49.05497022,-123.8698626
YCG,49.29639816,-117.6320038
YCL,47.990799,-66.330299
YCO,67.8167038,-115.1439972
YCY,70.48609924,-68.51670074
YZS,64.19329834,-83.35939789
YDF,49.21080017,-57.39139938
YDQ,55.74229813,-120.1829987
YEG,53.30970001,-113.5800018
YEK,61.09420013,-94.07080078
YEV,68.30419922,-133.4830017
YFB,63.75640106,-68.55580139
YFC,45.8689003,-66.53720093
YFO,54.67810059,-101.6819992
YFS,61.7602005,-121.2369995
YGK,44.22529984,-76.59690094
YGL,53.62530136,-77.70420074
YGP,48.77529907,-64.47859955
YGR,47.42470169,-61.77809906
YHD,49.83169937,-92.74420166
YHI,70.76280212,-117.8059998
YHK,68.63559723,-95.84970093
YHM,43.17359924,-79.93499756
YHU,45.51750183,-73.41690063
YHY,60.83969879,-115.7829971
YHZ,44.88079834,-63.50859833
YIO,72.6832962,-77.96669769
YJT,48.5442009,-58.54999924
YKA,50.70220184,-120.4440002
YKF,43.46080017,-80.37860107
YKL,54.80530167,-66.80529785
YLL,53.30920029,-110.072998
YLW,49.95610046,-119.3779984
YMM,56.65330124,-111.2220001
YMO,51.29109955,-80.60780334
YNA,50.18999863,-61.78919983
YOJ,58.62139893,-117.1650009
YOW,45.32249832,-75.66919708
YPL,51.44639969,-90.21420288
YPN,49.83639908,-64.28859711
YPR,54.28609848,-130.4450073
YPY,58.76720047,-111.1169968
YQB,46.7911,-71.393303
YQF,52.18220139,-113.8939972
YQG,42.27560043,-82.95559692
YQK,49.78829956,-94.36309814
YQL,49.63029861,-112.8000031
YQM,46.11220169,-64.6785965
YQQ,49.71080017,-124.887001
YQR,50.43190002,-104.6660004
YQT,48.37189865,-89.32389832
YQU,55.17969894,-118.8850021
YQX,48.93690109,-54.56809998
YQY,46.16139984,-60.04779816
YQZ,53.02610016,-122.5100021
YRB,74.71690369,-94.9693985
YRT,62.81140137,-92.11579895
YSB,46.625,-80.79889679
YSJ,45.31610107,-65.89029694
YSM,60.02030182,-111.961998
YSY,71.99389648,-125.2429962
YTE,64.23000336,-76.52670288
YTH,55.80110168,-97.86419678
YTS,48.56969833,-81.37670136
YTZ,43.627499,-79.396202
YUB,69.4332962,-133.026001
YUL,45.47060013,-73.74079895
YUT,66.52140045,-86.22470093
YUX,68.77610016,-81.2425
YUY,48.20610046,-78.83560181
YVM,67.54579926,-64.03140259
YVO,48.05329895,-77.78279877
YVP,58.09609985,-68.42690277
YVQ,65.28160095,-126.7979965
YVR,49.19390106,-123.1839981
YWG,49.90999985,-97.23989868
YWK,52.9219017,-66.86440277
YWL,52.18310165,-122.0540009
YXC,49.6108017,-115.7819977
YXE,52.17079926,-106.6999969
YXH,50.01890182,-110.7210007
YXJ,56.23809814,-120.7399979
YXL,50.11389923,-91.90529633
YXP,66.14499664,-65.71360016
YXS,53.88940048,-122.6790009
YXT,54.468498,-128.576009
YXU,43.035599,-81.1539
YXX,49.02529907,-122.3610001
YXY,60.70959854,-135.0670013
YYB,46.36360168,-79.42279816
YYC,51.11389923,-114.0199966
YYD,54.8246994,-127.1829987
YYE,58.83639908,-122.5970001
YYF,49.46310043,-119.6019974
YYG,46.29000092,-63.12110138
YYH,69.54669952,-93.5766983
YYJ,48.64690018,-123.4260025
YYQ,58.73920059,-94.06500244
YYR,53.31919861,-60.42580032
YYT,47.61859894,-52.75189972
YYU,49.41389847,-82.46749878
YYY,48.60860062,-68.20809937
YYZ,43.67720032,-79.63059998
YZF,62.46279907,-114.4400024
YZP,53.25429916,-131.8139954
YZR,42.99940109,-82.30889893
YZT,50.68059921,-127.3669968
YZV,50.22330093,-66.26560211
ZFM,67.40750122,-134.8609924
BJA,36.7120018,5.069920063
ALG,36.69100189,3.215409994
DJG,24.2928009,9.452440262
TMR,22.81150055,5.451079845
AAE,36.82220078,7.809169769
CZL,36.27600098,6.620389938
TEE,35.43159866,8.12071991
HRM,32.93040085,3.311539888
TID,35.34109879,1.463150024
TLM,35.01670074,-1.450000048
ORN,35.62390137,-0.621182978
MUW,35.20769882,0.147141993
AZR,27.83760071,-0.186414003
BSK,34.79330063,5.738230228
ELG,30.57130051,2.859590054
GHA,32.38410187,3.79411006
HME,31.67300034,6.140439987
INZ,27.25099945,2.512020111
TGR,33.06779861,6.088669777
OGX,31.91720009,5.412779808
IAM,28.05150032,9.642910004
COO,6.357230186,2.384350061
OUA,12.35319996,-1.512420058
BOY,11.16009998,-4.33096981
ACC,5.6051898,-0.166786
TML,9.557189941,-0.863214016
NYI,7.361830235,-2.328759909
TKD,4.89605999,-1.774760008
ABJ,5.261390209,-3.926290035
ABV,9.006790161,7.263169765
BNI,6.316979885,5.599500179
CBQ,4.976019859,8.347200394
ENU,6.474269867,7.56196022
IBA,7.362460136,3.978329897
ILR,8.440210342,4.493919849
JOS,9.639829636,8.869050026
KAD,10.6960001,7.320109844
KAN,12.04759979,8.524620056
LOS,6.577370167,3.321160078
PHC,5.015490055,6.949590206
SKO,12.91629982,5.207190037
YOL,9.25755024,12.43039989
NIM,13.48149967,2.183609962
MIR,35.7580986,10.75469971
TUN,36.85100174,10.22719955
GAF,34.42200089,8.822500229
GAE,33.87689972,10.10330009
DJE,33.875,10.7755003
SFA,34.7179985,10.69099998
TOE,33.93970108,8.110560417
LFW,6.165609837,1.254510045
ANR,51.18939972,4.460279942
BRU,50.90140152,4.48443985
CRL,50.45920181,4.453820229
LGG,50.63740158,5.443220139
OST,51.19889832,2.862220049
SXF,52.38000107,13.52250004
DRS,51.13280106,13.76720047
ERF,50.97980118,10.95810032
FRA,50.0333333,8.5705556
FMO,52.13460159,7.684830189
