Source,Target,Weight
AAE,ALG,1
AAE,CDG,1
AAE,IST,1
AAE,LYS,1
AAE,MRS,2
AAE,ORN,1
AAE,ORY,2
AAL,AAR,1
AAL,AGP,1
AAL,ALC,1
AAL,AMS,2
AAL,ARN,1
AAL,BCN,2
AAL,BLL,3
AAL,CPH,2
AAL,IST,1
AAL,LGW,1
AAL,OSL,3
AAL,PMI,1
AAL,SVG,1
AAN,CCJ,1
AAN,PEW,1
AAQ,DME,1
AAQ,LED,1
AAQ,SVO,1
AAR,AAL,1
AAR,AGP,1
AAR,BMA,1
AAR,CPH,1
AAR,GOT,1
AAR,OSL,1
AAR,PMI,1
AAR,STN,1
AAT,URC,2
AAX,POJ,1
AAY,SAH,1
ABA,DME,1
ABA,IKT,1
ABA,NSK,1
ABA,SVO,1
ABB,ABV,1
ABB,LOS,1
ABD,MHD,2
ABD,SYZ,1
ABD,THR,3
ABE,ATL,3
ABE,CLT,2
ABE,DTW,1
ABE,MYR,1
ABE,ORD,1
ABE,PGD,1
ABE,PHL,2
ABE,PIE,1
ABE,SFB,1
ABI,DFW,2
ABJ,ACC,7
ABJ,ALG,1
ABJ,BKO,2
ABJ,BOY,1
ABJ,BRU,4
ABJ,CDG,2
ABJ,CKY,2
ABJ,CMN,1
ABJ,COO,3
ABJ,DKR,3
ABJ,DLA,1
ABJ,FNA,1
ABJ,IST,1
ABJ,LBV,1
ABJ,LFW,5
ABJ,LOS,4
ABJ,NBO,1
ABJ,ORY,1
ABJ,OUA,7
ABJ,ROB,1
ABJ,TUN,1
ABL,OTZ,2
ABL,SHG,2
ABM,CNS,1
ABQ,ATL,5
ABQ,BWI,1
ABQ,CNM,1
ABQ,DAL,1
ABQ,DEN,3
ABQ,DFW,2
ABQ,HOU,1
ABQ,IAH,1
ABQ,JFK,1
ABQ,LAM,1
ABQ,LAS,2
ABQ,LAX,5
ABQ,MCI,2
ABQ,MDW,2
ABQ,MSP,1
ABQ,OAK,1
ABQ,ORD,3
ABQ,PDX,2
ABQ,PHX,3
ABQ,SAN,1
ABQ,SEA,1
ABQ,SFO,1
ABQ,SLC,1
ABR,MSP,1
ABS,ASW,1
ABT,DMM,1
ABT,JED,1
ABT,RUH,1
ABV,ABB,1
ABV,ACC,1
ABV,ADD,1
ABV,BNI,1
ABV,CAI,1
ABV,CBQ,1
ABV,CDG,3
ABV,COO,1
ABV,ENU,1
ABV,FRA,1
ABV,GMO,1
ABV,IBA,1
ABV,ILR,1
ABV,KAN,1
ABV,LFW,1
ABV,LHR,1
ABV,LOS,1
ABV,NDJ,1
ABV,NIM,1
ABV,PHC,4
ABV,QOW,1
ABV,QRW,1
ABV,SKO,1
ABV,SSG,1
ABV,YOL,1
ABX,MEL,1
ABX,SYD,3
ABY,ATL,4
ABZ,AMS,1
ABZ,BGO,2
ABZ,BHD,1
ABZ,BHX,1
ABZ,BRS,1
ABZ,CDG,3
ABZ,CPH,1
ABZ,DUB,1
ABZ,EBJ,1
ABZ,EMA,1
ABZ,FRA,1
ABZ,HUY,1
ABZ,KOI,1
ABZ,KSU,1
ABZ,LBA,1
ABZ,LCY,1
ABZ,LGW,1
ABZ,LHR,5
ABZ,LSI,1
ABZ,LTN,1
ABZ,MAN,2
ABZ,MME,1
ABZ,NCL,1
ABZ,NWI,2
ABZ,OSL,2
ABZ,RIX,1
ABZ,SVG,3
ABZ,SYY,1
ABZ,WIC,1
ACA,IAH,1
ACA,MEX,3
ACA,MTY,1
ACA,TIJ,1
ACA,TLC,2
ACC,ABJ,8
ACC,ABV,1
ACC,ADD,1
ACC,AMS,1
ACC,BEY,1
ACC,CAI,1
ACC,CMN,1
ACC,COO,1
ACC,DKR,3
ACC,DXB,1
ACC,FCO,1
ACC,FNA,3
ACC,FRA,1
ACC,IST,1
ACC,JFK,1
ACC,JNB,1
ACC,KMS,4
ACC,LFW,1
ACC,LHR,2
ACC,LIS,1
ACC,LOS,4
ACC,MAD,1
ACC,MLW,1
ACC,NBO,1
ACC,NYI,1
ACC,OUA,1
ACC,ROB,4
ACC,TKD,2
ACC,TML,3
ACC,WDH,1
ACE,AMS,1
ACE,BCN,3
ACE,BFS,2
ACE,BGY,1
ACE,BHX,6
ACE,BIO,3
ACE,BLK,1
ACE,BLQ,1
ACE,BOH,1
ACE,BRE,1
ACE,BRS,2
ACE,BVA,1
ACE,CGN,1
ACE,CRL,1
ACE,DUB,2
ACE,DUS,2
ACE,EDI,1
ACE,EIN,1
ACE,EMA,6
ACE,FKB,1
ACE,FRA,2
ACE,FUE,5
ACE,GLA,5
ACE,HAJ,2
ACE,HAM,2
ACE,HHN,1
ACE,LBA,3
ACE,LEJ,2
ACE,LGW,9
ACE,LPA,2
ACE,LPL,2
ACE,LTN,3
ACE,LUX,1
ACE,MAD,3
ACE,MAN,7
ACE,MUC,2
ACE,NCL,4
ACE,NOC,1
ACE,NRN,1
ACE,ORK,2
ACE,OVD,1
ACE,PAD,1
ACE,PIK,1
ACE,SCQ,2
ACE,SDR,1
ACE,SNN,1
ACE,STN,3
ACE,STR,2
ACE,SVQ,1
ACE,SXF,1
ACE,TFN,1
ACE,TXL,1
ACE,ZAZ,1
ACE,ZRH,2
ACH,EBA,1
ACH,VIE,1
ACI,GCI,1
ACI,SOU,1
ACK,BOS,1
ACK,EWB,1
ACK,HPN,1
ACK,HYA,1
ACK,MVY,1
ACK,TEB,1
ACR,LCR,1
ACR,SVI,1
ACT,DFW,2
ACU,PAC,1
ACV,CEC,1
ACV,SFO,1
ACV,SMF,1
ACX,CAN,1
ACX,CKG,1
ACX,KWE,1
ACX,NAY,2
ACX,PVG,1
ACY,BOS,1
ACY,DTW,1
ACY,FLL,1
ACY,IAH,1
ACY,MCO,1
ACY,MYR,1
ACY,ORD,2
ACY,RSW,1
ACY,TPA,1
ACZ,MHD,1
ADA,ADB,2
ADA,AYT,2
ADA,EBL,2
ADA,ECN,2
ADA,ESB,1
ADA,IST,3
ADA,JED,1
ADA,SAW,2
ADA,TZX,1
ADA,VAN,1
ADB,ADA,2
ADB,AMS,3
ADB,ARN,1
ADB,ASR,2
ADB,ATH,1
ADB,AYT,2
ADB,BHX,1
ADB,BRE,1
ADB,BRU,1
ADB,BSL,2
ADB,CDG,2
ADB,CGN,1
ADB,CPH,1
ADB,DIY,2
ADB,DTM,1
ADB,DUB,1
ADB,DUS,2
ADB,ECN,2
ADB,ESB,2
ADB,EZS,1
ADB,FRA,1
ADB,GNY,1
ADB,GZT,2
ADB,HAJ,1
ADB,HAM,2
ADB,HEL,1
ADB,HTY,1
ADB,IST,4
ADB,LGW,2
ADB,LUX,1
ADB,LYS,1
ADB,MAN,1
ADB,MQM,1
ADB,MUC,2
ADB,NTE,1
ADB,SAW,3
ADB,STN,1
ADB,STR,2
ADB,SXB,1
ADB,TXL,1
ADB,TZX,2
ADB,VAS,1
ADB,VIE,1
ADB,ZRH,1
ADD,ABV,1
ADD,ACC,1
ADD,AMH,1
ADD,ASO,1
ADD,AXU,1
ADD,BAH,1
ADD,BEY,1
ADD,BJR,1
ADD,BKK,2
ADD,BKO,2
ADD,BOM,2
ADD,CAI,2
ADD,CAN,3
ADD,CDG,1
ADD,COO,1
ADD,DAR,2
ADD,DEL,2
ADD,DIR,1
ADD,DLA,2
ADD,DMM,1
ADD,DOH,1
ADD,DXB,3
ADD,EBB,2
ADD,ENU,1
ADD,FBM,1
ADD,FCO,1
ADD,FIH,1
ADD,FRA,2
